user_id,item_id,interaction_type,timestamp,interaction
46,50,like,2023-06-25,1
9,32,save,2023-04-02,1
22,35,contact,2023-11-21,1
18,4,view,2023-05-22,1
94,87,like,2023-12-09,1
29,47,view,2023-05-14,1
41,52,contact,2023-01-01,1
1,15,contact,2023-07-25,1
58,60,save,2023-02-28,1
11,81,contact,2023-01-07,1
19,49,save,2023-06-09,1
47,58,save,2023-03-30,1
91,31,contact,2023-06-14,1
26,3,like,2023-11-08,1
89,57,like,2023-01-03,1
45,55,view,2023-11-08,1
33,72,view,2023-06-27,1
94,19,like,2023-08-15,1
74,71,contact,2023-01-15,1
40,65,view,2023-02-27,1
43,98,like,2023-07-28,1
85,79,like,2023-12-01,1
46,78,like,2023-06-14,1
26,36,view,2023-06-01,1
8,87,view,2023-08-06,1
36,40,like,2023-10-23,1
92,54,save,2023-11-29,1
27,53,like,2023-02-04,1
25,49,view,2023-07-16,1
19,2,like,2023-06-18,1
86,65,view,2023-11-26,1
97,40,save,2023-03-05,1
76,92,like,2023-10-15,1
22,89,save,2023-04-05,1
42,74,like,2023-12-20,1
65,99,like,2023-04-22,1
48,18,view,2023-08-02,1
58,45,like,2023-09-27,1
81,40,save,2023-03-28,1
75,36,view,2023-02-08,1
25,100,save,2023-08-13,1
44,21,view,2023-06-08,1
53,9,like,2023-01-24,1
50,65,like,2023-06-01,1
2,9,view,2023-06-02,1
49,13,view,2023-08-29,1
62,4,view,2023-05-21,1
73,7,like,2023-06-26,1
78,2,like,2023-02-22,1
65,59,like,2023-11-06,1
74,59,view,2023-10-11,1
42,54,save,2023-09-12,1
18,76,like,2023-09-12,1
87,60,contact,2023-05-19,1
89,28,like,2023-08-19,1
29,14,save,2023-07-17,1
20,33,contact,2023-06-26,1
53,18,like,2023-03-30,1
63,49,like,2023-12-21,1
59,86,save,2023-10-28,1
3,7,save,2023-08-31,1
90,50,like,2023-09-25,1
2,58,save,2023-04-26,1
2,72,contact,2023-09-20,1
40,50,save,2023-03-20,1
32,45,save,2023-12-22,1
95,53,view,2023-06-26,1
89,99,contact,2023-10-10,1
64,78,view,2023-08-03,1
4,42,like,2023-10-16,1
54,4,save,2023-09-10,1
21,22,save,2023-07-28,1
99,82,contact,2023-06-18,1
13,69,save,2023-06-17,1
39,89,save,2023-09-04,1
38,9,save,2023-09-09,1
36,32,view,2023-09-12,1
51,71,contact,2023-02-09,1
25,90,like,2023-03-21,1
18,2,save,2023-04-30,1
38,72,contact,2023-07-24,1
80,3,view,2023-12-21,1
13,73,like,2023-05-15,1
79,98,like,2023-04-14,1
62,26,view,2023-04-20,1
92,31,contact,2023-07-02,1
98,55,contact,2023-04-01,1
11,78,contact,2023-08-16,1
49,10,save,2023-05-06,1
19,17,like,2023-10-17,1
2,8,contact,2023-01-27,1
66,16,contact,2023-03-13,1
98,16,like,2023-02-03,1
47,99,contact,2023-12-03,1
76,39,contact,2023-04-14,1
97,49,view,2023-09-12,1
78,75,contact,2023-08-25,1
70,75,view,2023-07-29,1
45,48,save,2023-02-07,1
95,29,save,2023-06-01,1
83,51,contact,2023-04-29,1
98,34,like,2023-06-15,1
73,33,like,2023-12-16,1
41,39,like,2023-04-01,1
63,84,save,2023-07-27,1
83,7,like,2023-12-27,1
45,38,save,2023-04-30,1
25,49,like,2023-04-19,1
83,37,save,2023-06-04,1
37,89,save,2023-05-16,1
6,72,save,2023-04-29,1
14,49,view,2023-03-18,1
37,47,view,2023-03-25,1
90,86,contact,2023-01-23,1
6,41,view,2023-12-23,1
8,98,like,2023-04-07,1
17,99,save,2023-11-29,1
68,62,contact,2023-03-23,1
63,96,like,2023-04-01,1
17,94,contact,2023-06-24,1
52,98,contact,2023-07-11,1
41,2,view,2023-03-10,1
44,84,like,2023-02-26,1
43,33,view,2023-04-20,1
27,81,view,2023-08-16,1
77,85,like,2023-02-07,1
74,28,contact,2023-07-11,1
54,7,save,2023-04-26,1
41,34,contact,2023-09-14,1
9,48,view,2023-04-19,1
39,23,save,2023-12-06,1
37,86,save,2023-05-08,1
35,44,save,2023-01-28,1
72,17,view,2023-01-26,1
39,40,like,2023-04-20,1
46,61,like,2023-03-28,1
74,25,save,2023-10-09,1
87,17,contact,2023-07-21,1
60,63,contact,2023-03-05,1
26,58,like,2023-06-02,1
3,25,contact,2023-07-09,1
56,96,like,2023-08-12,1
43,11,view,2023-12-27,1
11,88,contact,2023-07-19,1
69,20,save,2023-10-31,1
89,73,like,2023-07-25,1
58,59,contact,2023-07-20,1
84,2,like,2023-07-15,1
11,3,save,2023-10-15,1
85,86,save,2023-10-09,1
15,70,contact,2023-02-05,1
74,71,view,2023-10-30,1
85,45,save,2023-11-09,1
90,85,like,2023-04-24,1
10,33,like,2023-04-06,1
80,20,contact,2023-11-10,1
26,39,contact,2023-01-05,1
72,20,view,2023-04-16,1
88,18,like,2023-05-08,1
41,12,save,2023-11-13,1
96,58,view,2023-06-21,1
28,71,view,2023-04-11,1
56,14,like,2023-06-25,1
40,40,save,2023-12-06,1
25,50,like,2023-11-12,1
10,3,contact,2023-03-03,1
22,83,save,2023-08-05,1
4,76,view,2023-07-26,1
13,81,contact,2023-12-11,1
2,38,save,2023-11-22,1
4,22,view,2023-06-01,1
80,11,contact,2023-01-21,1
10,62,save,2023-03-20,1
72,77,view,2023-12-24,1
41,9,save,2023-06-23,1
99,22,like,2023-03-11,1
60,77,like,2023-09-19,1
43,25,contact,2023-03-01,1
68,50,save,2023-01-15,1
37,82,contact,2023-10-10,1
13,81,like,2023-09-29,1
3,9,view,2023-11-06,1
17,64,contact,2023-11-23,1
18,27,save,2023-09-07,1
56,60,like,2023-07-19,1
55,22,like,2023-04-24,1
33,38,contact,2023-10-29,1
55,8,contact,2023-09-16,1
44,83,contact,2023-02-22,1
13,21,save,2023-05-29,1
6,29,save,2023-10-01,1
99,4,contact,2023-12-20,1
10,35,like,2023-11-17,1
56,72,view,2023-11-20,1
19,85,save,2023-05-14,1
88,11,like,2023-12-01,1
24,5,like,2023-01-22,1
66,43,like,2023-04-01,1
