user_id,item_id,rank
1,3,1
1,7,2
1,45,3
1,50,4
1,53,5
2,27,1
2,60,2
2,72,3
2,74,4
2,95,5
3,7,1
3,26,2
3,33,3
3,38,4
3,89,5
4,33,1
4,34,2
4,52,3
4,60,4
4,86,5
5,40,1
5,45,2
5,64,3
5,89,4
5,94,5
6,33,1
6,57,2
6,72,3
6,85,4
6,96,5
7,7,1
7,50,2
7,60,3
7,76,4
7,86,5
8,2,1
8,29,2
8,36,3
8,60,4
8,93,5
9,7,1
9,23,2
9,29,3
9,60,4
9,92,5
10,25,1
10,27,2
10,43,3
10,85,4
10,96,5
11,23,1
11,27,2
11,33,3
11,60,4
11,71,5
12,16,1
12,22,2
12,45,3
12,54,4
12,95,5
13,31,1
13,40,2
13,42,3
13,85,4
13,89,5
14,1,1
14,41,2
14,60,3
14,76,4
14,95,5
15,29,1
15,38,2
15,50,3
15,54,4
15,86,5
16,21,1
16,33,2
16,35,3
16,40,4
16,83,5
17,8,1
17,29,2
17,33,3
17,40,4
17,60,5
18,33,1
18,40,2
18,54,3
18,60,4
18,85,5
19,30,1
19,49,2
19,53,3
19,60,4
19,76,5
20,8,1
20,62,2
20,85,3
20,94,4
20,97,5
21,45,1
21,49,2
21,74,3
21,79,4
21,95,5
22,14,1
22,21,2
22,60,3
22,62,4
22,68,5
23,26,1
23,50,2
23,64,3
23,71,4
23,74,5
24,11,1
24,50,2
24,60,3
24,83,4
24,96,5
25,16,1
25,28,2
25,33,3
25,45,4
25,53,5
26,42,1
26,49,2
26,52,3
26,73,4
26,85,5
27,8,1
27,33,2
27,40,3
27,41,4
27,45,5
28,1,1
28,27,2
28,29,3
28,33,4
28,64,5
29,14,1
29,21,2
29,23,3
29,81,4
29,83,5
30,34,1
30,35,2
30,77,3
30,86,4
30,98,5
31,33,1
31,40,2
31,53,3
31,74,4
31,98,5
32,8,1
32,33,2
32,40,3
32,53,4
32,79,5
33,27,1
33,33,2
33,40,3
33,60,4
33,95,5
34,2,1
34,6,2
34,40,3
34,71,4
34,84,5
35,2,1
35,32,2
35,38,3
35,50,4
35,97,5
36,6,1
36,40,2
36,49,3
36,74,4
36,93,5
37,33,1
37,38,2
37,53,3
37,74,4
37,98,5
38,33,1
38,38,2
38,53,3
38,85,4
38,96,5
39,33,1
39,38,2
39,60,3
39,64,4
39,81,5
40,2,1
40,27,2
40,60,3
40,74,4
40,85,5
41,40,1
41,42,2
41,60,3
41,85,4
41,95,5
42,16,1
42,29,2
42,53,3
42,79,4
42,89,5
43,15,1
43,21,2
43,40,3
43,54,4
43,86,5
44,8,1
44,29,2
44,49,3
44,74,4
44,95,5
45,23,1
45,34,2
45,40,3
45,49,4
45,60,5
46,33,1
46,60,2
46,64,3
46,73,4
46,85,5
47,6,1
47,29,2
47,45,3
47,64,4
47,74,5
48,12,1
48,23,2
48,49,3
48,60,4
48,74,5
49,34,1
49,50,2
49,75,3
49,89,4
49,98,5
50,39,1
50,60,2
50,73,3
50,77,4
50,98,5
51,11,1
51,45,2
51,74,3
51,85,4
51,89,5
52,42,1
52,47,2
52,83,3
52,86,4
52,98,5
53,2,1
53,6,2
53,33,3
53,53,4
53,60,5
54,15,1
54,20,2
54,22,3
54,33,4
54,45,5
55,42,1
55,47,2
55,53,3
55,74,4
55,86,5
56,20,1
56,52,2
56,63,3
56,85,4
56,95,5
57,23,1
57,33,2
57,54,3
57,75,4
57,92,5
58,33,1
58,62,2
58,64,3
58,74,4
58,95,5
59,42,1
59,49,2
59,63,3
59,72,4
59,86,5
60,7,1
60,11,2
60,21,3
60,44,4
60,76,5
61,29,1
61,38,2
61,49,3
61,74,4
61,95,5
62,27,1
62,38,2
62,40,3
62,49,4
62,80,5
63,29,1
63,36,2
63,50,3
63,73,4
63,74,5
64,33,1
64,60,2
64,64,3
64,74,4
64,95,5
65,2,1
65,38,2
65,54,3
65,64,4
65,74,5
66,3,1
66,33,2
66,40,3
66,45,4
66,74,5
67,12,1
67,40,2
67,60,3
67,68,4
67,89,5
68,2,1
68,22,2
68,45,3
68,53,4
68,95,5
69,23,1
69,33,2
69,52,3
69,57,4
69,85,5
70,13,1
70,23,2
70,27,3
70,49,4
70,81,5
71,1,1
71,8,2
71,27,3
71,60,4
71,95,5
72,40,1
72,50,2
72,73,3
72,85,4
72,98,5
73,23,1
73,31,2
73,44,3
73,60,4
73,86,5
74,25,1
74,26,2
74,45,3
